ts	phase	decision	why	evidence	result
2026-08-20T04:19:46Z	frame	set full scope to eight correctness fixes and two benchmark-gated candidates	the user asked for the complete architecture-hardening pass	PROJECT.md; docs/02-ARCHITECTURE.md; 17bae934a8d59c2d7a54a45d558ffea34a30ed5f	scope accepted
2026-08-20T04:19:46Z	design	kept local owning modules instead of adding a shared lifecycle framework	two independent architecture candidates and a read-only cross-judge favored smaller ownership boundaries	crates/rw-store/src/session.rs; crates/rw-core/src/host.rs; packages/tui/src/projection-requests.ts	design selected
2026-08-20T05:02:00Z	lifecycle	kept plugin cleanup at the RPC client and partial startup owner	unshut final clients and later plugin startup failure leaked child processes	two targeted tests failed before; rw-ext 111 tests and extension runtime 18 tests passed after; db18e46	committed db18e46
2026-08-20T05:02:00Z	lifecycle	abandoned the proposed Tokio Notify enable refactor	the exact interleaving passed before the change because notify_waiters generations are captured when Notified is created	forced notify_waiters between notified creation and atomic check for recording and device cancellation; both passed unmodified	no commit; suspected defect disproved
2026-08-20T05:02:00Z	delivery	evict only the stalled subscription after a bounded send deadline	a permanently open nonreader blocked its active same-client sibling indefinitely while temporary backpressure must remain lossless	baseline active sibling timed out at 2.002s; fixed 400 of 400 pairs in 518.832ms; temporary pause remained exact 600 of 600 in 110.872ms	committed 3845650
2026-08-20T05:02:00Z	replay	decode only the durable event suffix and read the in-memory tail directly	reconnect work was reparsing the full append-only log for tail and small-gap reads	20000 events: ten tail reads 11.610s to 1.032ms; final 100 read 1.195s to 67.945ms; rw-store 130 tests and clippy passed	committed b8ca9a0
2026-08-20T05:02:49Z	storage	fail closed on complete corrupt tail records and recover only an unterminated final fragment	repairing a complete malformed record silently rewrote durable history instead of treating it as corruption	rw-store 131 tests plus doc test passed; ca6e183	cherry-picked as 922ddb6
2026-08-20T05:02:49Z	rewind	coordinate multi-root rewind with explicit preparing and committed states	independent root commits could leave a partially rewound workspace after a fault	baseline regression failed; two deterministic fault tests and six rewind tests passed; fadd217	cherry-picked as a10e9a4
2026-08-20T05:03:03Z	projection	separate stale connection-scoped requests from fresh projection watermarks and refresh baseline reads on stream readiness	an accepted command could lose its ephemeral SSE reply and leave loading state pinned across reconnect	new broker tests; TUI typecheck and 421 tests passed; 6f649e9	cherry-picked as 3c43300
2026-08-20T05:03:03Z	cursor	reject a replay cursor ahead of the durable tail before committing HTTP 200 SSE	plain EOF caused the TUI to retain the invalid cursor and reconnect forever	typed core error; CLI 409; one reset and cursorless retry; Rust focused tests and full TUI passed; 5f13bb8	cherry-picked as 43de614
2026-08-20T05:05:42Z	replay-ui	end initial replay only at the authoritative replay-complete marker	25ms idle and 250ms maximum timers could re-enable live side effects during slow historical replay	baseline triggered historical-child after 275ms; fixed suite 422 passed with marker-only success and EOF cleanup; 751fa8c	cherry-picked as 8fb0a7f
2026-08-20T05:14:15Z	review	accepted Comment Sicko P1 and fingerprinted the validated event-log prefix	suffix-only parsing otherwise allowed same-length corruption in skipped JSON to evade fail-closed reads	same-length mutation and truncation tests pass; benchmark remains 0.349ms for ten tail reads and 96.589ms for final 100 versus 11.610s and 1.195s baseline	finding encoded in SessionEventLog state and regression test
2026-08-20T05:17:43Z	search	maintain the hosted session index from an incremental projection at durable semantic boundaries	hosted create and rename events were durable but never reached the derived search index until an unrelated rebuild	baseline returned zero rows after rename; final 30 session_host tests and focused search tests passed; no full-log per-turn reread; 0398f96	cherry-picked as 666b094
2026-08-20T05:23:26Z	integration	refresh the validated fingerprint after an authorized exact-prefix fork write	the full workspace suite showed that direct fork copying legitimately extends the child descriptor outside append_batch	full workspace first run failed fork divergence; focused regression and all 132 rw-store tests plus doc test pass after dea1898	committed dea1898; full workspace rerun required
2026-08-20T05:37:34Z	review	accepted GPT-5.5 P1 and completed or poisoned committed multi-root rewinds in the live process	restart recovery alone allowed mixed root state to remain usable after a later apply failure	one-shot failure completes both roots; repeated failure blocks local and peer coordinators before and after the shared lock; restart recovery converges; 3852a66	blocking review finding closed pending re-review
2026-08-20T05:37:34Z	integration	retry bounded empty hosted-search snapshots as well as unsafe identity races	the full workspace run observed a stable but stale empty FTS snapshot after the durable rename event	focused search passes; empty results retry within the existing named 5-attempt 5ms policy and 100ms query deadline; 7589821	committed 7589821; full workspace rerun required
2026-08-20T05:37:34Z	evidence	narrow durable replay performance claim to suffix decode rather than sublinear I/O	integrity still reads and fingerprints the complete event-log bytes and scans record delimiters	benchmark proves lower JSON decode/materialization cost but load_after remains O(file bytes)	claim corrected for final handoff
2026-08-20T05:41:56Z	integration	accept the combined branch only after an authoritative serialized workspace run and final static gates	parallel full-suite attempts exposed integration bugs and unrelated timing flakes; the serialized run separates correctness from scheduler noise	cargo test --workspace -- --test-threads=1 passed; cargo fmt --check, codegen --check, git diff --check, and workspace all-target Clippy with warnings denied passed	combined architecture-hardening branch accepted for commit and push
2026-08-20T05:42:10Z	integration	record isolated-worktree commit mappings on the final branch	the source commit IDs in early evidence rows were cherry-picked and received new identities	db18e46 to 2215b9a; 3845650 to edc07b9; b8ca9a0 to 8ec370f	final branch history is the publication authority
